DATE,PERIOD,VERSION,SUBSIDIARY,ACCOUNT_NUM,LOCATION,DEPARTMENT,COST_CENTER,AMOUNT,QUANTITY,MEMO,STATUS
,202407,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,108250,,,
,202407,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4932,,,
,202407,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,8293,,,
,202407,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202407,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,,,,
,202407,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202407,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202407,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202407,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,26100,,,
,202407,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202407,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,630,,,
,202408,Budget FY2024,PPACANADA,60000,,CorpOH,CorpOH,108250,,,
,202408,Budget FY2024,PPACANADA,60500,,CorpOH,CorpOH,4932,,,
,202408,Budget FY2024,PPACANADA,60600,,CorpOH,CorpOH,8293,,,
,202408,Budget FY2024,PPACANADA,68000,,CorpOH,CorpOH,42000,,,
,202408,Budget FY2024,PPACANADA,65000,,CorpOH,CorpOH,2500,,,
,202408,Budget FY2024,PPACANADA,68100,,CorpOH,CorpOH,6250,,,
,202408,Budget FY2024,PPACANADA,68150,,CorpOH,CorpOH,1730,,,
,202408,Budget FY2024,PPACANADA,68250,,CorpOH,CorpOH,160,,,
,202408,Budget FY2024,PPACANADA,68700,,CorpOH,CorpOH,6600,,,
,202408,Budget FY2024,PPACANADA,68400,,CorpOH,CorpOH,1950,,,
,202408,Budget FY2024,PPACANADA,64450,,CorpOH,CorpOH,630,,,
