PERIOD,DATE,VERSION,RATIO
202405,2023-08-11,Budget FY2024,0.032258065
202405,2023-08-12,Budget FY2024,0.032258065
202405,2023-08-13,Budget FY2024,0.032258065
202405,2023-08-14,Budget FY2024,0.032258065
202405,2023-08-15,Budget FY2024,0.032258065
202405,2023-08-16,Budget FY2024,0.032258065
202405,2023-08-17,Budget FY2024,0.032258065
202405,2023-08-18,Budget FY2024,0.032258065
202405,2023-08-19,Budget FY2024,0.032258065
202405,2023-08-20,Budget FY2024,0.032258065
202405,2023-08-21,Budget FY2024,0.032258065
202405,2023-08-22,Budget FY2024,0.032258065
202405,2023-08-23,Budget FY2024,0.032258065
202405,2023-08-24,Budget FY2024,0.032258065
202405,2023-08-25,Budget FY2024,0.032258065
202405,2023-08-26,Budget FY2024,0.032258065
202405,2023-08-27,Budget FY2024,0.032258065
202405,2023-08-28,Budget FY2024,0.032258065
202405,2023-08-29,Budget FY2024,0.032258065
202405,2023-08-30,Budget FY2024,0.032258065
202405,2023-08-31,Budget FY2024,0.032258065
202406,2023-09-01,Budget FY2024,0.033333333
202406,2023-09-02,Budget FY2024,0.033333333
202406,2023-09-03,Budget FY2024,0.033333333
202406,2023-09-04,Budget FY2024,0.033333333
202406,2023-09-05,Budget FY2024,0.033333333
202406,2023-09-06,Budget FY2024,0.033333333
202406,2023-09-07,Budget FY2024,0.033333333
202406,2023-09-08,Budget FY2024,0.033333333
202406,2023-09-09,Budget FY2024,0.033333333
202406,2023-09-10,Budget FY2024,0.033333333
202406,2023-09-11,Budget FY2024,0.033333333
202406,2023-09-12,Budget FY2024,0.033333333
202406,2023-09-13,Budget FY2024,0.033333333
202406,2023-09-14,Budget FY2024,0.033333333
202406,2023-09-15,Budget FY2024,0.033333333
202406,2023-09-16,Budget FY2024,0.033333333
202406,2023-09-17,Budget FY2024,0.033333333
202406,2023-09-18,Budget FY2024,0.033333333
202406,2023-09-19,Budget FY2024,0.033333333
202406,2023-09-20,Budget FY2024,0.033333333
202406,2023-09-21,Budget FY2024,0.033333333
202406,2023-09-22,Budget FY2024,0.033333333
202406,2023-09-23,Budget FY2024,0.033333333
202406,2023-09-24,Budget FY2024,0.033333333
202406,2023-09-25,Budget FY2024,0.033333333
202406,2023-09-26,Budget FY2024,0.033333333
202406,2023-09-27,Budget FY2024,0.033333333
202406,2023-09-28,Budget FY2024,0.033333333
202406,2023-09-29,Budget FY2024,0.033333333
202406,2023-09-30,Budget FY2024,0.033333333
202407,2023-10-01,Budget FY2024,0.032258065
202407,2023-10-02,Budget FY2024,0.032258065
202407,2023-10-03,Budget FY2024,0.032258065
202407,2023-10-04,Budget FY2024,0.032258065
202407,2023-10-05,Budget FY2024,0.032258065
202407,2023-10-06,Budget FY2024,0.032258065
202407,2023-10-07,Budget FY2024,0.032258065
202407,2023-10-08,Budget FY2024,0.032258065
202407,2023-10-09,Budget FY2024,0.032258065
202407,2023-10-10,Budget FY2024,0.032258065
202407,2023-10-11,Budget FY2024,0.032258065
202407,2023-10-12,Budget FY2024,0.032258065
202407,2023-10-13,Budget FY2024,0.032258065
202407,2023-10-14,Budget FY2024,0.032258065
202407,2023-10-15,Budget FY2024,0.032258065
202407,2023-10-16,Budget FY2024,0.032258065
202407,2023-10-17,Budget FY2024,0.032258065
202407,2023-10-18,Budget FY2024,0.032258065
202407,2023-10-19,Budget FY2024,0.032258065
202407,2023-10-20,Budget FY2024,0.032258065
